Frame_number,Timestamp,License_plate_text,License_plate_coordinates,Confidence_score
336,2024-04-18 11:42:04,IR16BI5297,"(252, 416, 365, 447)",0.11660192431331491
336,2024-04-18 11:42:04,IR16BI5297,"(229, 286, 374, 313)",0.19123932792772064
337,2024-04-18 11:42:04,IR16BI5297,"(254, 416, 367, 447)",0.3610823673839724
337,2024-04-18 11:42:04,IR16BI5297,"(230, 287, 376, 314)",0.29732998295807966
339,2024-04-18 11:42:05,WR16BT5297,"(257, 417, 371, 448)",0.3104059690247797
340,2024-04-18 11:42:06,MR16BI5297,"(261, 417, 372, 448)",0.15141212411352004
341,2024-04-18 11:42:06,MP16BI5297,"(264, 418, 373, 449)",0.1453709792483596
342,2024-04-18 11:42:07,MR18BI5797,"(263, 420, 372, 449)",0.2678439520996661
343,2024-04-18 11:42:07,MR18BI5797,"(266, 421, 378, 449)",0.10103106449176313
344,2024-04-18 11:42:08,MR16BI5797,"(268, 421, 380, 450)",0.20125841221020813
345,2024-04-18 11:42:08,MP16BL5297,"(270, 422, 381, 450)",0.12642219219706438
346,2024-04-18 11:42:08,MP16BL5297,"(269, 423, 382, 450)",0.2811489949646502
347,2024-04-18 11:42:09,MP16BL5297,"(272, 422, 384, 449)",0.10398272236616007
348,2024-04-18 11:42:09,MR16BI5797,"(274, 424, 384, 450)",0.13012367540052772
349,2024-04-18 11:42:10,MR16BI5797,"(275, 424, 387, 450)",0.10828490471887994
350,2024-04-18 11:42:10,MP15BL5297,"(278, 425, 387, 450)",0.2824358586743634
350,2024-04-18 11:42:10,MP15BL5297,"(254, 300, 390, 326)",0.0792736793670843
351,2024-04-18 11:42:11,MR16BI5297,"(279, 426, 388, 451)",0.13833271576992232
351,2024-04-18 11:42:11,MR16BI5297,"(255, 301, 391, 326)",0.3276761235125501
352,2024-04-18 11:42:11,MR16BI5297,"(281, 427, 389, 450)",0.07376040152134855
352,2024-04-18 11:42:12,MR16BI5297,"(256, 302, 392, 327)",0.19487551203531206
353,2024-04-18 11:42:12,MR16BI5297,"(279, 427, 389, 453)",0.11418049615695793
353,2024-04-18 11:42:12,MR16BI5297,"(261, 303, 394, 327)",0.09749869358055106
354,2024-04-18 11:42:13,MR16BI5297,"(281, 427, 389, 451)",0.0754750275296666
361,2024-04-18 11:42:16,MR16BI5297,"(293, 428, 398, 453)",0.14787694413361077
362,2024-04-18 11:42:16,MR16BI5297,"(294, 428, 399, 453)",0.17677976670261253
363,2024-04-18 11:42:17,MP16BL5297,"(293, 427, 400, 454)",0.10276788151281795
365,2024-04-18 11:42:18,NR15BL5292,"(292, 428, 400, 455)",0.14229363278079993
366,2024-04-18 11:42:18,HR11BI5297,"(291, 428, 397, 455)",0.055485423329571563
367,2024-04-18 11:42:18,IR16BI5797,"(289, 429, 392, 456)",0.13609976501556398
368,2024-04-18 11:42:19,IR16BL5797,"(287, 429, 391, 457)",0.20099481779811598
369,2024-04-18 11:42:19,RI88L5297,"(285, 429, 388, 458)",0.22258464802468414
370,2024-04-18 11:42:20,BI68L5797,"(284, 429, 386, 459)",0.11605588072000475
371,2024-04-18 11:42:20,NP16BL5797,"(280, 430, 381, 459)",0.20497840270643441
372,2024-04-18 11:42:21,IB18BL5797,"(272, 429, 375, 458)",0.2418288713065295
